id,predicted_price
2591820310,357943.3
7974200820,827005.94
7701450110,1094641.2
9522300010,2005053.5
9510861140,735315.06
1761300310,246899.67
7732410120,783709.9
7010701383,625925.2
291310170,426878.2
4232901990,552136.25
6840701125,636367.44
3971700580,412823.78
4202400078,243973.39
6064800090,380005.38
2626119028,262024.28
3303980660,1069834.8
862000020,787205.8
2386000070,942680.75
1138000450,374814.22
1775800420,451244.06
2291401425,425669.56
2025770560,865669.7
3525069037,702438.56
9324800450,566525.5
8080400136,522645.84
8651540040,526516.5
9407001790,243291.69
1773101530,175549.61
9432900250,334684.4
1794500695,601057.75
2220069003,308316.53
923000120,473610.16
5728000060,556190.8
16000200,232548.03
1926059094,444487.6
6672900220,982657.1
3629860060,806422.8
1822069109,439150.8
6675500105,370365.9
249000180,1858865.1
226059065,447083.03
396100110,273180.03
9264450460,335340.03
7853361210,378777.72
9474700020,296756.56
421000455,243918.72
3755200220,423599.8
7960100075,472410.25
9477100490,408178.47
9138100350,808253.7
1624049275,462504.44
2770606890,517025.53
1157200189,399091.62
2770601800,506050.0
9301300805,563336.6
2325069032,1135214.6
1021079099,348606.72
7215730040,735054.25
1853200080,469195.47
3224600340,690156.75
3222049120,441215.34
2113700025,296699.4
7893207925,206556.61
3586501085,557846.06
8024200010,409445.16
7116500705,180335.2
1598600209,310039.7
7204200025,840490.2
4206901505,553879.25
2937300440,933135.2
7205000180,330917.4
8718500665,364006.5
5318101765,858553.8
4122700020,973743.44
8078700020,507271.5
3303980680,971795.25
8924100372,1190036.4
2781270210,207521.75
519000043,538892.5
3225069301,1447045.0
151000075,737199.6
2297400020,432355.6
6617500085,663690.0
104510180,230641.08
3528900060,988691.06
3345100286,529548.5
1226039130,445308.6
8712100720,787883.25
3037200010,376602.16
3626039268,425674.44
104510230,236433.03
5112800060,404901.2
6072400280,628332.44
5317100570,1159921.0
9528102993,515959.62
2919201095,498349.34
6181400920,260341.23
185000161,235345.56
8691400010,769100.75
3345700165,521897.72
6151800486,230521.45
4340000080,1362625.5
4136960010,536738.3
3634100030,349452.84
1624059224,1098739.0
2788400090,261308.6
9828200762,472850.62
7524400250,577433.2
3528000290,738040.94
5700003630,1931065.9
2720069019,275119.47
7227501170,230432.88
2397101270,588106.0
6792100090,721312.2
2770602265,528349.44
3971700937,289380.84
422049203,213527.66
3076500830,287408.6
1423400260,289473.3
9161100795,498191.6
3126049052,472252.12
5100401468,391546.06
514500235,460044.03
1423200170,195377.4
1402100070,401846.78
624110020,729345.1
2407000145,206669.12
1890000225,837246.94
1320069271,323012.25
5490700085,358106.16
263000155,466817.88
